epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,570.393,2.03448,3.23832,2.12643,0.10204,0.07313,0.00626,0.00292,2.98897,23.2705,3.79977,0.070163,0.00331522,0.00331522
2,1039.56,1.98221,2.89412,2.08787,0.20536,0.20514,0.05683,0.01914,2.27728,inf,2.67986,0.0400972,0.00658273,0.00658273
3,1434.2,1.91614,2.72976,2.01094,0.29093,0.14591,0.05003,0.0183,2.19191,3.66016,2.29782,0.0099654,0.00978424,0.00978424
4,1848.29,1.83996,2.58106,1.94276,0.29756,0.12729,0.04859,0.01903,2.15783,3.26523,2.25364,0.009703,0.009703,0.009703
5,2444.77,1.81167,2.49042,1.90762,0.43337,0.23218,0.11605,0.04313,2.1183,2.57223,2.2119,0.009604,0.009604,0.009604
6,2825.34,1.76988,2.37853,1.87066,0.39111,0.22208,0.11443,0.04571,2.07423,2.3983,2.16082,0.009505,0.009505,0.009505
7,3308.72,1.74204,2.3365,1.86366,0.34742,0.25577,0.1199,0.04981,1.90457,2.52209,1.95857,0.009406,0.009406,0.009406
8,3848.08,1.71595,2.27393,1.83565,0.30002,0.24993,0.11795,0.04479,nan,nan,nan,0.009307,0.009307,0.009307
9,4351.63,1.69837,2.21554,1.81421,0.38608,0.2399,0.13229,0.06175,1.92481,2.27544,2.02438,0.009208,0.009208,0.009208
10,4701.62,1.68974,2.20775,1.80156,0.47231,0.28294,0.14301,0.06136,1.98791,2.18271,2.0548,0.009109,0.009109,0.009109
11,5220.82,1.6571,2.12505,1.78755,0.45721,0.29346,0.14492,0.06865,1.84361,2.06329,1.98398,0.00901,0.00901,0.00901
12,5519.37,1.63755,2.12073,1.77395,0.48672,0.33719,0.16768,0.07987,1.70454,2.11891,1.81731,0.008911,0.008911,0.008911
13,6037.5,1.61493,2.06197,1.75173,0.50271,0.28992,0.14599,0.06947,1.73175,2.13048,1.83598,0.008812,0.008812,0.008812
14,6320.76,1.61758,2.02956,1.74657,0.50556,0.31305,0.16274,0.07046,1.85522,2.08238,1.94588,0.008713,0.008713,0.008713
15,6853.87,1.60134,2.03811,1.73517,0.43501,0.31958,0.16092,0.0807,1.73282,2.0169,1.83458,0.008614,0.008614,0.008614
16,7230.4,1.58591,1.98387,1.72131,0.42539,0.32007,0.16691,0.07896,1.74932,1.91186,1.80483,0.008515,0.008515,0.008515
17,7713.83,1.57378,1.97712,1.71057,0.52819,0.25039,0.16049,0.07937,1.78335,2.06425,1.9122,0.008416,0.008416,0.008416
18,8131.32,1.55889,1.95552,1.71058,0.47279,0.31679,0.17333,0.089,1.60299,1.85166,1.73612,0.008317,0.008317,0.008317
19,8598.9,1.56069,1.95084,1.70899,0.51645,0.30636,0.16849,0.08745,1.63814,1.92276,1.75941,0.008218,0.008218,0.008218
20,8949.95,1.54856,1.88534,1.69239,0.24981,0.32611,0.15854,0.07042,1.84376,2.04391,1.89483,0.008119,0.008119,0.008119
21,9434.27,1.53721,1.87544,1.69034,0.34097,0.37742,0.18833,0.09359,1.6936,1.84082,1.77112,0.00802,0.00802,0.00802
22,9963.78,1.53062,1.87143,1.67442,0.30293,0.36964,0.18508,0.09134,1.67856,1.85091,1.7806,0.007921,0.007921,0.007921
23,10475.7,1.50856,1.83185,1.66047,0.32637,0.3775,0.1753,0.08952,1.54899,1.78235,1.66382,0.007822,0.007822,0.007822
24,10907.8,1.51783,1.84195,1.66789,0.38566,0.35872,0.18913,0.0996,1.6918,1.78948,1.76799,0.007723,0.007723,0.007723
25,11359.9,1.50027,1.81657,1.6474,0.44262,0.33464,0.18677,0.09736,1.66374,1.73832,1.74475,0.007624,0.007624,0.007624
26,11740.8,1.47422,1.79115,1.64052,0.33524,0.3906,0.18645,0.10447,1.54718,1.71933,1.67095,0.007525,0.007525,0.007525
27,12177.8,1.48449,1.77641,1.63522,0.34545,0.37157,0.19273,0.10407,1.57654,1.69382,1.69806,0.007426,0.007426,0.007426
28,12625.9,1.46907,1.74866,1.62733,0.36027,0.35722,0.1897,0.10851,1.42615,1.70286,1.60979,0.007327,0.007327,0.007327
