epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1460.56,2.10195,2.82258,2.2841,0.03276,0.09436,0.01371,0.00423,2.62816,96.8972,3.23169,0.070163,0.00331522,0.00331522
2,3114.22,1.99585,2.49796,2.17407,0.55033,0.07623,0.03449,0.01302,2.68281,7.947,3.08563,0.0400972,0.00658273,0.00658273
3,5793.88,1.92207,2.37447,2.1165,0.58964,0.09561,0.06946,0.02411,2.51243,3.96769,2.93809,0.0099654,0.00978424,0.00978424
4,6398.33,1.83951,2.24655,2.03999,0.6284,0.23248,0.14052,0.05234,2.1079,2.53442,2.37441,0.009703,0.009703,0.009703
5,7136.19,1.82271,2.17244,2.00338,0.6527,0.19052,0.19199,0.07842,2.07416,2.42161,2.3008,0.009604,0.009604,0.009604
6,7438.52,1.80746,2.08838,1.9998,0.48074,0.31493,0.2227,0.0882,2.05211,2.14059,2.25073,0.009505,0.009505,0.009505
7,9119.5,1.78398,2.05023,1.96835,0.71518,0.225,0.21112,0.09133,1.97761,1.99423,2.16239,0.009406,0.009406,0.009406
8,9611.58,1.74179,2.00171,1.93156,0.4404,0.37898,0.2474,0.10171,2.11424,1.9571,2.31824,0.009307,0.009307,0.009307
9,10182.9,1.72921,1.9466,1.9144,0.4223,0.2846,0.2139,0.08255,2.06586,2.08843,2.28079,0.009208,0.009208,0.009208
10,10513.8,1.70453,1.91362,1.89172,0.47061,0.31247,0.25641,0.10479,1.96552,1.87558,2.15466,0.009109,0.009109,0.009109
11,11001,1.65556,1.82739,1.85129,0.43934,0.43405,0.2784,0.13133,1.80937,1.73123,2.05378,0.00901,0.00901,0.00901
12,11385.7,1.65896,1.80383,1.86699,0.42609,0.37881,0.19779,0.08929,1.75987,2.0907,2.00648,0.008911,0.008911,0.008911
13,12403.1,1.63028,1.75938,1.83798,0.47748,0.36734,0.27212,0.12074,1.8553,1.96611,2.09659,0.008812,0.008812,0.008812
14,12877.9,1.64191,1.75652,1.8377,0.26382,0.4189,0.2807,0.12673,1.7449,1.67072,1.95151,0.008713,0.008713,0.008713
15,13415.6,1.62793,1.77138,1.83541,0.28359,0.48486,0.30833,0.14371,1.7622,1.69859,1.95242,0.008614,0.008614,0.008614
16,13791.6,1.61021,1.72072,1.8264,0.49839,0.38378,0.28481,0.12752,1.80466,1.66431,1.95919,0.008515,0.008515,0.008515
17,14338.2,1.60031,1.7311,1.80798,0.28826,0.47413,0.31295,0.14152,1.81137,1.6246,2.01748,0.008416,0.008416,0.008416
18,14738.5,1.5747,1.64864,1.79099,0.25239,0.45524,0.28407,0.127,1.80899,1.67391,2.00641,0.008317,0.008317,0.008317
19,15209.9,1.60594,1.67005,1.81687,0.27608,0.41516,0.24654,0.11439,1.84918,1.99283,2.10342,0.008218,0.008218,0.008218
20,15731.7,1.55562,1.62366,1.7744,0.31715,0.52066,0.33302,0.14501,1.87889,1.64609,2.02758,0.008119,0.008119,0.008119
21,16320.2,1.55359,1.61471,1.774,0.34984,0.45517,0.31872,0.15552,1.7618,1.6209,1.97792,0.00802,0.00802,0.00802
22,16688.3,1.55519,1.60249,1.7728,0.27486,0.50601,0.31299,0.14731,1.79382,1.53457,1.95686,0.007921,0.007921,0.007921
23,17148.3,1.55027,1.5727,1.75944,0.30661,0.47561,0.33157,0.17375,1.64949,1.54595,1.87145,0.007822,0.007822,0.007822
24,17471.6,1.55062,1.56942,1.77375,0.29195,0.41556,0.30787,0.15166,1.70912,1.51421,1.88233,0.007723,0.007723,0.007723
25,18463.7,1.52116,1.54883,1.74511,0.28085,0.41337,0.29966,0.16079,1.58304,1.55096,1.80449,0.007624,0.007624,0.007624
26,18839.4,1.51583,1.54968,1.7485,0.30714,0.49481,0.35499,0.18813,1.52555,1.48346,1.75173,0.007525,0.007525,0.007525
27,19649.2,1.51275,1.50828,1.73087,0.32528,0.3782,0.30098,0.15614,1.55285,1.56147,1.79362,0.007426,0.007426,0.007426
28,21158.2,1.50547,1.51358,1.73348,0.27147,0.4691,0.32474,0.15824,1.70492,1.50434,1.86073,0.007327,0.007327,0.007327
29,614.918,1.57925,1.67443,1.82072,0.2596,0.43285,0.28535,0.14487,1.62731,1.59829,1.84308,0.007228,0.007228,0.007228
30,1456.02,1.51769,1.53158,1.7635,0.24092,0.46058,0.35206,0.18407,1.57465,1.39507,1.77466,0.007129,0.007129,0.007129
