epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,949.912,1.90849,2.14599,2.06222,0.64473,0.42004,0.43042,0.18423,1.99195,2.97699,2.31312,0.0700865,0.00332373,0.00332373
2,2228.61,1.79686,1.88231,1.95526,0.56096,0.52612,0.56457,0.24256,1.95404,1.79982,2.1475,0.0400206,0.00659116,0.00659116
3,3091.8,1.71371,1.67932,1.86775,0.80792,0.58739,0.67797,0.29114,1.94511,1.62283,2.16364,0.00988865,0.00979258,0.00979258
4,4280.3,1.64352,1.60579,1.82303,0.74955,0.57361,0.67664,0.3447,1.72913,1.49935,1.9779,0.009703,0.009703,0.009703
5,4994.69,1.60671,1.50076,1.79215,0.78692,0.64077,0.73598,0.31936,1.97429,1.38627,2.19561,0.009604,0.009604,0.009604
6,6328.43,1.55672,1.40786,1.73339,0.75708,0.66859,0.75536,0.42177,1.51285,1.20816,1.79834,0.009505,0.009505,0.009505
7,7130.27,1.52667,1.33447,1.71359,0.86098,0.67241,0.76506,0.41152,1.63044,1.26618,1.90819,0.009406,0.009406,0.009406
8,7952.42,1.49236,1.28231,1.68496,0.82456,0.71665,0.8084,0.42628,1.60051,1.09759,1.83889,0.009307,0.009307,0.009307
9,8693.63,1.45634,1.22852,1.66176,0.86247,0.71372,0.82365,0.48489,1.42688,1.02126,1.73222,0.009208,0.009208,0.009208
10,9551.08,1.44422,1.18873,1.65106,0.85848,0.74915,0.82858,0.48466,1.46255,0.99737,1.75608,0.009109,0.009109,0.009109
11,10714,1.42318,1.15443,1.62663,0.87257,0.73576,0.82379,0.50474,1.40521,1.01426,1.70887,0.00901,0.00901,0.00901
12,11287.8,1.40118,1.11408,1.60616,0.8681,0.73571,0.83594,0.49382,1.44804,0.97578,1.72257,0.008911,0.008911,0.008911
13,11976.9,1.3836,1.08492,1.60131,0.8549,0.78567,0.8403,0.50527,1.47236,0.98231,1.77414,0.008812,0.008812,0.008812
14,12878.2,1.36357,1.05234,1.58067,0.90543,0.73573,0.83154,0.47071,1.49002,0.96326,1.76204,0.008713,0.008713,0.008713
15,13722.4,1.3438,1.02619,1.56294,0.86511,0.73348,0.79872,0.4963,1.40938,0.97723,1.74242,0.008614,0.008614,0.008614
16,14263.9,1.32911,0.99845,1.5506,0.78806,0.77282,0.81097,0.49236,1.39095,1.00275,1.71151,0.008515,0.008515,0.008515
17,14950.3,1.32966,0.98763,1.54331,0.89366,0.75833,0.8291,0.4987,1.45515,0.96614,1.77707,0.008416,0.008416,0.008416
18,15677.5,1.30276,0.96304,1.53711,0.92097,0.74434,0.83744,0.51661,1.37496,0.8718,1.68508,0.008317,0.008317,0.008317
19,16357.5,1.29384,0.94994,1.52127,0.88829,0.77918,0.8496,0.52124,1.37119,0.92908,1.64133,0.008218,0.008218,0.008218
20,17296,1.27039,0.91822,1.50804,0.9278,0.69067,0.81871,0.48162,1.46664,1.00741,1.74754,0.008119,0.008119,0.008119
21,17996.2,1.25721,0.90403,1.48429,0.87575,0.73116,0.82856,0.52072,1.3357,0.899,1.65881,0.00802,0.00802,0.00802
