epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2963,1.47121,3.06401,1.55669,0.40176,0.32598,0.18805,0.11949,1.22224,1.78051,1.33753,0.000110397,0.000110397,0.000110397
2,111.355,1.25811,1.7242,1.34876,0.39307,0.38057,0.22355,0.13503,1.18468,1.56607,1.31602,0.000217013,0.000217013,0.000217013
3,165.383,1.21626,1.5622,1.31936,0.4043,0.44859,0.22579,0.13889,1.24918,1.54962,1.37482,0.000319234,0.000319234,0.000319234
4,220.286,1.18243,1.47371,1.30083,0.348,0.47303,0.25743,0.16357,1.13366,1.46873,1.25955,0.00031322,0.00031322,0.00031322
5,276.52,1.15993,1.36997,1.2758,0.28085,0.50464,0.25076,0.16319,1.17482,1.47055,1.31988,0.000306626,0.000306626,0.000306626
6,334.441,1.12286,1.30247,1.25041,0.30431,0.51354,0.26836,0.17601,1.06166,1.35969,1.21541,0.000300033,0.000300033,0.000300033
7,392.302,1.09158,1.27642,1.24168,0.331,0.53368,0.26776,0.17508,1.08024,1.33092,1.23307,0.00029344,0.00029344,0.00029344
8,452.072,1.07351,1.23835,1.22841,0.33509,0.52451,0.28763,0.18626,1.07343,1.34061,1.23321,0.000286846,0.000286846,0.000286846
9,512.642,1.0408,1.20419,1.20813,0.24998,0.54082,0.26314,0.17403,1.03242,1.33097,1.19188,0.000280253,0.000280253,0.000280253
10,572.819,1.04004,1.18554,1.20349,0.27451,0.53999,0.28323,0.18876,1.00692,1.30889,1.17874,0.000273659,0.000273659,0.000273659
11,633.713,1.00127,1.15761,1.18502,0.40212,0.53866,0.30514,0.20363,1.02564,1.29895,1.16931,0.000267066,0.000267066,0.000267066
12,696.253,0.98973,1.139,1.17885,0.32547,0.57443,0.28972,0.19788,1.00871,1.28851,1.18239,0.000260473,0.000260473,0.000260473
13,757.772,0.96953,1.11362,1.15745,0.39772,0.57529,0.29809,0.2015,0.99428,1.26363,1.16932,0.000253879,0.000253879,0.000253879
14,820.109,0.96972,1.08811,1.15968,0.28853,0.58054,0.30398,0.21004,0.97362,1.25632,1.1546,0.000247286,0.000247286,0.000247286
15,881.334,0.95868,1.08858,1.15845,0.2903,0.56806,0.3086,0.21601,0.94921,1.23921,1.13447,0.000240692,0.000240692,0.000240692
16,943.309,0.92837,1.06086,1.13929,0.29193,0.60138,0.29815,0.21214,0.9122,1.28781,1.11118,0.000234099,0.000234099,0.000234099
17,1006.58,0.92087,1.06426,1.12857,0.24871,0.57707,0.29097,0.20041,0.97335,1.30366,1.14864,0.000227506,0.000227506,0.000227506
18,1069.64,0.90387,1.02906,1.12492,0.25585,0.56783,0.27704,0.19204,0.93165,1.26118,1.12106,0.000220912,0.000220912,0.000220912
19,1132.11,0.90041,1.04162,1.12273,0.24473,0.60993,0.29408,0.20256,0.90929,1.26,1.10428,0.000214319,0.000214319,0.000214319
20,1194.51,0.88003,1.01396,1.1097,0.27305,0.54948,0.28171,0.19724,0.92117,1.28433,1.11329,0.000207725,0.000207725,0.000207725
21,1257.07,0.87004,1.00391,1.10853,0.28399,0.59082,0.29139,0.20751,0.8904,1.245,1.09051,0.000201132,0.000201132,0.000201132
22,1319.22,0.85624,0.99831,1.09835,0.29944,0.58287,0.29856,0.21538,0.89145,1.247,1.0829,0.000194539,0.000194539,0.000194539
23,1382.05,0.84877,0.98043,1.08947,0.26284,0.57858,0.29704,0.2172,0.8782,1.24854,1.07963,0.000187945,0.000187945,0.000187945
24,1444.52,0.83649,0.97214,1.08656,0.25039,0.59267,0.2865,0.20687,0.87351,1.29076,1.07495,0.000181352,0.000181352,0.000181352
25,1506.61,0.83147,0.9778,1.07427,0.25166,0.58666,0.29301,0.21002,0.87824,1.25042,1.07794,0.000174758,0.000174758,0.000174758
26,1568.63,0.81309,0.95028,1.0744,0.24317,0.59467,0.28194,0.20305,0.86385,1.28861,1.08148,0.000168165,0.000168165,0.000168165
27,1631.67,0.81214,0.94988,1.07054,0.24899,0.58388,0.28822,0.20701,0.86764,1.29981,1.08153,0.000161572,0.000161572,0.000161572
28,1694.81,0.78683,0.94312,1.06077,0.25096,0.60175,0.28804,0.20713,0.87178,1.28356,1.06961,0.000154978,0.000154978,0.000154978
29,1757.07,0.78686,0.92986,1.05886,0.23612,0.55445,0.28495,0.208,0.8489,1.31663,1.06212,0.000148385,0.000148385,0.000148385
30,1819.72,0.777,0.92881,1.0571,0.26038,0.59415,0.28901,0.20743,0.85412,1.2804,1.07817,0.000141791,0.000141791,0.000141791
31,1882.59,0.7671,0.91473,1.04405,0.25838,0.57839,0.28436,0.20768,0.84925,1.29142,1.07121,0.000135198,0.000135198,0.000135198
32,1945.59,0.75343,0.92186,1.03547,0.26335,0.60664,0.29884,0.21931,0.83927,1.28692,1.05983,0.000128605,0.000128605,0.000128605
33,2008.19,0.7438,0.89707,1.03102,0.25916,0.5837,0.28939,0.21223,0.83095,1.27998,1.05102,0.000122011,0.000122011,0.000122011
34,2070.39,0.73921,0.90432,1.03742,0.2489,0.57263,0.28996,0.21172,0.83752,1.30989,1.06202,0.000115418,0.000115418,0.000115418
